node,zone,lat,lon,dist_dc_mi,dc_within_10,prem_2020,prem_2021,prem_2022,prem_2023,prem_2024,prem_2025,prem_2026
SUMMITAV,RECO,41.059,-74.146,11.168,0,0.415,2.299,1.856,2.509,2.149,3.357,0.746
SMITHBUR,JCPL,40.174,-74.356,11.267,0,-0.104,-0.705,-0.533,-0.378,0.472,-0.331,-0.593
HILLTPPS,PSEG,39.841,-75.067,11.307,0,,,-1.444,-1.526,-0.529,-0.923,-1.518
MERION,AECO,39.264,-74.608,11.476,0,-0.042,-0.854,-0.732,-1.041,0.063,-0.175,-0.228
HARINGSC,RECO,41.047,-74.096,11.573,0,0.379,2.094,1.668,2.230,2.097,3.335,0.646
GLENGARD,JCPL,40.306,-74.211,11.691,0,0.018,-0.144,0.494,0.488,-0.589,-0.406,-0.627
HILLSDAL,PSEG,41.003,-74.033,11.710,0,0.421,3.450,2.351,2.154,0.704,0.734,1.629
WILLIAMS,AECO,40.127,-74.685,11.866,0,-0.441,-1.443,-1.978,-1.602,-0.665,-1.033,-1.542
DARLNGTO,RECO,41.082,-74.183,12.218,0,0.374,2.698,1.830,3.087,2.023,3.188,0.620
FLANDERS,JCPL,40.870,-74.682,12.224,0,0.289,0.204,1.563,0.790,-0.045,0.267,0.413
FRENEAU,JCPL,40.401,-74.186,12.248,0,0.006,-0.570,-0.119,-0.021,-0.057,-0.016,0.398
BUSTLETO,PSEG,40.115,-74.804,12.328,0,-0.308,-1.084,-1.236,-1.171,-0.565,-0.717,-1.339
EWING,PSEG,40.241,-74.773,12.402,0,-0.071,-0.663,-0.647,-0.559,-0.420,-0.384,-0.805
MANSFLD,PSEG,40.073,-74.724,12.495,0,,,-1.116,-1.108,-0.517,-0.676,-1.285
CLOSTER,RECO,40.987,-73.950,12.548,0,0.426,2.136,1.763,2.260,2.138,3.381,0.731
HOPATCON,PSEG,40.952,-74.636,12.894,0,-0.090,-0.498,-0.364,0.412,-0.406,-0.299,-1.474
EFLEMING,JCPL,40.497,-74.833,12.915,0,-0.131,-0.660,-0.765,-0.657,-0.588,-0.458,-0.823
TANSBORO,AECO,39.761,-74.933,12.960,0,-0.432,-1.444,-1.964,-1.587,-0.665,-0.999,-1.547
REDBAJCT,JCPL,40.361,-74.050,13.077,0,0.032,-0.519,-0.082,-0.103,-0.029,-0.024,0.299
MONTVALE,RECO,41.045,-74.046,13.162,0,0.401,2.194,1.775,2.394,2.126,3.349,0.699
MERRILCR,JCPL,40.009,-74.222,13.357,0,0.011,0.085,0.974,0.432,-0.897,-0.604,-1.246
CSQ_HOPE,PSEG,40.648,-74.866,13.433,0,-0.050,-0.605,-0.484,-0.521,-0.462,-0.408,-0.832
DEPTFORD,PSEG,39.862,-75.133,13.459,0,-0.420,-1.378,-1.889,-1.666,-0.522,-0.918,-1.576
SAMPTON,PSEG,39.949,-74.641,13.489,0,-0.347,-1.253,-1.529,-1.387,-0.536,-0.800,-1.227
ATCO,AECO,39.755,-74.831,13.687,0,-0.383,-1.353,-1.760,-1.507,-0.583,-0.868,-1.305
TERRACE,AECO,39.782,-75.058,13.985,0,-0.300,-1.157,-1.332,-1.378,-0.408,-0.730,-1.017
NEWPROSP,JCPL,41.039,-74.531,14.467,0,-0.091,-0.716,-0.512,-0.346,-0.156,-0.305,-0.416
WOODBURY,PSEG,39.821,-75.140,15.189,0,-0.452,-1.182,-1.384,-1.474,-0.426,-0.796,-1.280
SICKLER,AECO,39.733,-74.977,15.273,0,-0.524,-1.627,-2.308,-1.723,-0.829,-1.215,-1.967
HOPEWEL1,PSEG,40.303,-74.826,15.408,0,-0.071,,,,,,
COOKSTOW,JCPL,40.033,-74.557,15.609,0,-0.195,-0.923,-0.886,-0.913,-0.307,-0.439,-0.645
DEVILSBR,PSEG,40.787,-74.782,15.725,0,-0.087,-0.496,-0.420,-0.352,-0.251,-0.282,-1.091
LEISUREV,JCPL,39.941,-74.142,15.928,0,-0.005,-0.604,-0.310,-0.342,-0.158,-2.322,0.090
THOROFAR,PSEG,39.859,-75.186,16.074,0,-0.444,-1.417,-2.015,-1.765,-0.546,-0.939,-1.657
DRAKESTO,JCPL,40.885,-74.756,16.204,0,0.182,0.118,1.174,0.647,-0.278,0.005,0.085
EGGHARBO,AECO,39.590,-74.582,16.274,0,-0.075,-0.713,-0.502,-0.868,0.106,-0.039,0.290
SMAWA,RECO,41.135,-74.308,16.406,0,0.370,2.594,1.784,2.958,2.025,3.203,0.608
NEWDOVER,PSEG,40.947,-74.732,16.749,0,-0.021,-0.372,-0.115,0.190,-0.158,0.073,0.287
MANITOU,JCPL,39.961,-74.261,17.255,0,0.007,-0.589,-0.242,-0.370,-0.124,-0.079,0.192
