zip,zip_lat,zip_lon,nearest_node,node_zone,dist_miles,coord_quality,lmp_2020,lmp_2021,lmp_2022,lmp_2023,lmp_2024,lmp_2025,pct_chg_2020_2025
08108,39.91505,-75.06224,CUTHBERT,PSEG,1.37,fuzzy,17.86,18.16,19.83,23.34,17.36,21.52,20.5
08109,39.94933,-75.04953,PENNSNEC,PSEG,0.66,manual_town,18.14,18.27,20.04,23.4,17.81,21.8,20.2
08110,39.97189,-75.05788,DELAIR,PSEG,0.68,exact,17.91,18.19,19.87,23.39,17.41,21.57,20.4
08201,39.42356,-74.49303,ABSECON,AECO,1.57,exact,18.01,18.285,20.015,23.64,17.7,21.78,20.9
08202,39.09664,-74.73976,PEERMONT,AECO,1.36,exact,18.1,18.45,20.12,23.78,17.79,21.9,21.0
08203,39.42171,-74.39287,HURON,AECO,4.07,exact,18.19,18.39,20.14,23.8,17.87,21.93,20.6
08204,38.97175,-74.91613,CAPEMAY,AECO,2.47,fuzzy,18.2,18.52,20.22,23.905,17.89,22.01,20.9
08205,39.482,-74.45264,ABSECON,AECO,4.85,exact,18.01,18.285,20.015,23.64,17.7,21.78,20.9
08210,39.11919,-74.82319,COURT,AECO,2.12,exact,18.12,18.46,20.13,23.8,17.81,21.92,21.0
08212,38.94041,-74.96428,CAPEMAY,AECO,2.13,fuzzy,18.2,18.52,20.22,23.905,17.89,22.01,20.9
08215,39.59012,-74.58195,EGGHARBO,AECO,5.57,fuzzy,18.03,18.45,20.12,23.77,17.78,21.92,21.6
08217,39.57703,-74.71882,DACOSTA,AECO,4.04,exact,18.01,18.43,20.07,23.7,17.71,21.86,21.4
08221,39.33994,-74.56447,MARVENAE,AECO,3.47,fuzzy,18.2,18.41,20.15,23.85,17.88,21.96,20.7
08223,39.26952,-74.65712,ENGLAND,AECO,1.8,fuzzy,18.02,18.3,20.01,23.67,17.69,21.77,20.8
08224,39.59933,-74.46743,MOTTS,AECO,6.51,fuzzy,18.18,18.36,20.12,23.8,17.87,21.96,20.8
08225,39.35834,-74.53631,MARVENAE,AECO,2.33,fuzzy,18.2,18.41,20.15,23.85,17.88,21.96,20.7
08226,39.26378,-74.60775,MERION,AECO,0.9,exact,18.02,18.31,20.02,23.69,17.69,21.78,20.9
08230,39.20106,-74.70675,CORSON,AECO,1.88,exact,18.01,18.3,20.0,23.6,17.66,21.75,20.8
08232,39.38752,-74.5152,LEWIS,AECO,2.17,exact,18.0,18.28,20.01,,,,
